"Date(UTC)","Value"
"6/7/2020 5:12:00 PM","98769"
"6/7/2020 5:13:00 PM","98637"
"6/7/2020 5:14:00 PM","98689"
"6/7/2020 5:15:00 PM","98650"
"6/7/2020 5:16:00 PM","98560"
"6/7/2020 5:17:00 PM","98394"
"6/7/2020 5:18:00 PM","98742"
"6/7/2020 5:19:00 PM","98478"
"6/7/2020 5:20:00 PM","98742"
"6/7/2020 5:21:00 PM","99376"
"6/7/2020 5:22:00 PM","98879"
"6/7/2020 5:23:00 PM","98903"
"6/7/2020 5:24:00 PM","98760"
"6/7/2020 5:25:00 PM","98721"
"6/7/2020 5:26:00 PM","98647"
"6/7/2020 5:27:00 PM","98764"
"6/7/2020 5:28:00 PM","98620"
"6/7/2020 5:29:00 PM","98566"
"6/7/2020 5:30:00 PM","98370"
"6/7/2020 5:31:00 PM","98346"
"6/7/2020 5:32:00 PM","98177"
"6/7/2020 5:33:00 PM","98378"
"6/7/2020 5:34:00 PM","98251"
"6/7/2020 5:35:00 PM","98241"
"6/7/2020 5:36:00 PM","98484"
"6/7/2020 5:37:00 PM","98468"
"6/7/2020 5:38:00 PM","98653"
"6/7/2020 5:39:00 PM","98747"
"6/7/2020 5:40:00 PM","98773"
"6/7/2020 5:41:00 PM","99033"
"6/7/2020 5:42:00 PM","99533"
"6/7/2020 5:43:00 PM","99468"
"6/7/2020 5:44:00 PM","99541"
"6/7/2020 5:45:00 PM","99420"
"6/7/2020 5:46:00 PM","99394"
"6/7/2020 5:47:00 PM","99267"
"6/7/2020 5:48:00 PM","99159"
"6/7/2020 5:49:00 PM","99175"
"6/7/2020 5:50:00 PM","98921"
"6/7/2020 5:51:00 PM","99001"
"6/7/2020 5:52:00 PM","99026"
"6/7/2020 5:53:00 PM","99307"
"6/7/2020 5:54:00 PM","99377"
"6/7/2020 5:55:00 PM","99238"
"6/7/2020 5:56:00 PM","99152"
"6/7/2020 5:57:00 PM","99498"
"6/7/2020 5:58:00 PM","99242"
"6/7/2020 5:59:00 PM","99177"
"6/7/2020 6:00:00 PM","99900"
"6/7/2020 6:01:00 PM","99923"
"6/7/2020 6:02:00 PM","99863"
"6/7/2020 6:03:00 PM","99828"
"6/7/2020 6:04:00 PM","99791"
"6/7/2020 6:05:00 PM","99401"
"6/7/2020 6:06:00 PM","99929"
"6/7/2020 6:07:00 PM","100045"
"6/7/2020 6:08:00 PM","99988"
"6/7/2020 6:09:00 PM","100370"
"6/7/2020 6:10:00 PM","100497"
"6/7/2020 6:11:00 PM","100536"
"6/7/2020 6:12:00 PM","100762"
"6/7/2020 6:13:00 PM","101036"
"6/7/2020 6:14:00 PM","100921"
"6/7/2020 6:15:00 PM","100770"
"6/7/2020 6:16:00 PM","100689"
"6/7/2020 6:17:00 PM","100913"
"6/7/2020 6:18:00 PM","101145"
"6/7/2020 6:19:00 PM","101268"
"6/7/2020 6:20:00 PM","101112"
"6/7/2020 6:21:00 PM","101201"
"6/7/2020 6:22:00 PM","101198"
"6/7/2020 6:23:00 PM","100756"
"6/7/2020 6:24:00 PM","100326"
"6/7/2020 6:25:00 PM","98884"
"6/7/2020 6:26:00 PM","99080"
"6/7/2020 6:27:00 PM","98986"
"6/7/2020 6:28:00 PM","99391"
"6/7/2020 6:29:00 PM","99302"
"6/7/2020 6:30:00 PM","99470"
"6/7/2020 6:31:00 PM","99461"
"6/7/2020 6:32:00 PM","99221"
"6/7/2020 6:33:00 PM","99095"
"6/7/2020 6:34:00 PM","99361"
"6/7/2020 6:35:00 PM","99224"
"6/7/2020 6:36:00 PM","99185"
"6/7/2020 6:37:00 PM","99184"
"6/7/2020 6:38:00 PM","99474"
"6/7/2020 6:39:00 PM","99465"
"6/7/2020 6:40:00 PM","99352"
"6/7/2020 6:41:00 PM","99426"
"6/7/2020 6:42:00 PM","99377"
"6/7/2020 6:43:00 PM","99394"
"6/7/2020 6:44:00 PM","99259"
"6/7/2020 6:45:00 PM","99188"
"6/7/2020 6:46:00 PM","99065"
"6/7/2020 6:47:00 PM","98928"
"6/7/2020 6:48:00 PM","99084"
"6/7/2020 6:49:00 PM","99018"
"6/7/2020 6:50:00 PM","98909"
"6/7/2020 6:51:00 PM","98868"
"6/7/2020 6:52:00 PM","98937"
"6/7/2020 6:53:00 PM","98892"
"6/7/2020 6:54:00 PM","99340"
"6/7/2020 6:55:00 PM","99088"
"6/7/2020 6:56:00 PM","99126"
"6/7/2020 6:57:00 PM","99009"
"6/7/2020 6:58:00 PM","98990"
"6/7/2020 6:59:00 PM","98976"
"6/7/2020 7:00:00 PM","99057"
"6/7/2020 7:01:00 PM","99165"
"6/7/2020 7:02:00 PM","99176"
"6/7/2020 7:03:00 PM","98971"
"6/7/2020 7:04:00 PM","98902"
"6/7/2020 7:05:00 PM","98548"
"6/7/2020 7:06:00 PM","98360"
"6/7/2020 7:07:00 PM","98543"
"6/7/2020 7:08:00 PM","98452"
"6/7/2020 7:09:00 PM","98459"
"6/7/2020 7:10:00 PM","98365"
"6/7/2020 7:11:00 PM","97796"
"6/7/2020 7:12:00 PM","97648"
"6/7/2020 7:13:00 PM","97678"
"6/7/2020 7:14:00 PM","97520"
"6/7/2020 7:15:00 PM","97456"
"6/7/2020 7:16:00 PM","97611"
"6/7/2020 7:17:00 PM","97954"
"6/7/2020 7:18:00 PM","97820"
"6/7/2020 7:19:00 PM","97934"
"6/7/2020 7:20:00 PM","97721"
"6/7/2020 7:21:00 PM","97909"
"6/7/2020 7:22:00 PM","97817"
"6/7/2020 7:23:00 PM","97916"
"6/7/2020 7:24:00 PM","98016"
"6/7/2020 7:25:00 PM","98015"
"6/7/2020 7:26:00 PM","98140"
"6/7/2020 7:27:00 PM","98018"
"6/7/2020 7:28:00 PM","98021"
"6/7/2020 7:29:00 PM","98008"
"6/7/2020 7:30:00 PM","98107"
"6/7/2020 7:31:00 PM","98719"
"6/7/2020 7:32:00 PM","97935"
"6/7/2020 7:33:00 PM","98291"
"6/7/2020 7:34:00 PM","98055"
"6/7/2020 7:35:00 PM","98139"
"6/7/2020 7:36:00 PM","98218"
"6/7/2020 7:37:00 PM","98140"
"6/7/2020 7:38:00 PM","98050"
"6/7/2020 7:39:00 PM","98177"
"6/7/2020 7:40:00 PM","98583"
"6/7/2020 7:41:00 PM","98506"
"6/7/2020 7:42:00 PM","98501"
"6/7/2020 7:43:00 PM","98567"
"6/7/2020 7:44:00 PM","98582"
"6/7/2020 7:45:00 PM","98717"
"6/7/2020 7:46:00 PM","98836"
"6/7/2020 7:47:00 PM","99079"
"6/7/2020 7:48:00 PM","99172"
"6/7/2020 7:49:00 PM","99112"
"6/7/2020 7:50:00 PM","99505"
"6/7/2020 7:51:00 PM","99576"
"6/7/2020 7:52:00 PM","99176"
"6/7/2020 7:53:00 PM","99580"
"6/7/2020 7:54:00 PM","99354"
"6/7/2020 7:55:00 PM","99396"
"6/7/2020 7:56:00 PM","99265"
"6/7/2020 7:57:00 PM","99355"
"6/7/2020 7:58:00 PM","99553"
"6/7/2020 7:59:00 PM","99426"
"6/7/2020 8:00:00 PM","99991"
"6/7/2020 8:01:00 PM","100140"
"6/7/2020 8:02:00 PM","100137"
"6/7/2020 8:03:00 PM","99993"
"6/7/2020 8:04:00 PM","99849"
"6/7/2020 8:05:00 PM","100135"
"6/7/2020 8:06:00 PM","99985"
"6/7/2020 8:07:00 PM","100022"
"6/7/2020 8:08:00 PM","100061"
"6/7/2020 8:09:00 PM","100118"
"6/7/2020 8:10:00 PM","99975"
"6/7/2020 8:11:00 PM","100124"
"6/7/2020 8:12:00 PM","100131"
"6/7/2020 8:13:00 PM","100438"
"6/7/2020 8:14:00 PM","100363"
"6/7/2020 8:15:00 PM","100310"
"6/7/2020 8:16:00 PM","100392"
"6/7/2020 8:17:00 PM","100536"
"6/7/2020 8:18:00 PM","100538"
"6/7/2020 8:19:00 PM","100516"
"6/7/2020 8:20:00 PM","100466"
"6/7/2020 8:21:00 PM","100513"
"6/7/2020 8:22:00 PM","100476"
"6/7/2020 8:23:00 PM","100211"
"6/7/2020 8:24:00 PM","100182"
"6/7/2020 8:25:00 PM","100145"
"6/7/2020 8:26:00 PM","100017"
"6/7/2020 8:27:00 PM","100148"
"6/7/2020 8:28:00 PM","100208"
"6/7/2020 8:29:00 PM","99952"
"6/7/2020 8:30:00 PM","100327"
"6/7/2020 8:31:00 PM","100057"
"6/7/2020 8:32:00 PM","99918"
"6/7/2020 8:33:00 PM","100033"
"6/7/2020 8:34:00 PM","99880"
"6/7/2020 8:35:00 PM","99973"
"6/7/2020 8:36:00 PM","99931"
"6/7/2020 8:37:00 PM","99721"
"6/7/2020 8:38:00 PM","99252"
"6/7/2020 8:39:00 PM","99139"
"6/7/2020 8:40:00 PM","98976"
"6/7/2020 8:41:00 PM","98934"
"6/7/2020 8:42:00 PM","99368"
"6/7/2020 8:43:00 PM","99558"
"6/7/2020 8:44:00 PM","99731"
"6/7/2020 8:45:00 PM","99399"
"6/7/2020 8:46:00 PM","99391"
"6/7/2020 8:47:00 PM","99228"
"6/7/2020 8:48:00 PM","99151"
"6/7/2020 8:49:00 PM","98967"
"6/7/2020 8:50:00 PM","99335"
"6/7/2020 8:51:00 PM","99477"
"6/7/2020 8:52:00 PM","99168"
"6/7/2020 8:53:00 PM","99161"
"6/7/2020 8:54:00 PM","99373"
"6/7/2020 8:55:00 PM","98977"
"6/7/2020 8:56:00 PM","98981"
"6/7/2020 8:57:00 PM","98764"
"6/7/2020 8:58:00 PM","98793"
"6/7/2020 8:59:00 PM","98528"
"6/7/2020 9:00:00 PM","98488"
"6/7/2020 9:01:00 PM","98743"
"6/7/2020 9:02:00 PM","99221"
"6/7/2020 9:03:00 PM","98715"
"6/7/2020 9:04:00 PM","98683"
"6/7/2020 9:05:00 PM","98847"
"6/7/2020 9:06:00 PM","99000"
"6/7/2020 9:07:00 PM","98659"
"6/7/2020 9:08:00 PM","98676"
"6/7/2020 9:09:00 PM","98807"
"6/7/2020 9:10:00 PM","99049"
"6/7/2020 9:11:00 PM","99073"
"6/7/2020 9:12:00 PM","98913"
"6/7/2020 9:13:00 PM","99085"
"6/7/2020 9:14:00 PM","99156"
"6/7/2020 9:15:00 PM","98904"
"6/7/2020 9:16:00 PM","98938"
"6/7/2020 9:17:00 PM","98915"
"6/7/2020 9:18:00 PM","99015"
"6/7/2020 9:19:00 PM","98970"
"6/7/2020 9:20:00 PM","98823"
"6/7/2020 9:21:00 PM","99064"
"6/7/2020 9:22:00 PM","99018"
"6/7/2020 9:23:00 PM","98963"
"6/7/2020 9:24:00 PM","99108"
"6/7/2020 9:25:00 PM","99056"
"6/7/2020 9:26:00 PM","98793"
"6/7/2020 9:27:00 PM","98888"
"6/7/2020 9:28:00 PM","99077"
"6/7/2020 9:29:00 PM","98926"
"6/7/2020 9:30:00 PM","98942"
"6/7/2020 9:31:00 PM","98976"
"6/7/2020 9:32:00 PM","99247"
"6/7/2020 9:33:00 PM","99090"
"6/7/2020 9:34:00 PM","99405"
"6/7/2020 9:35:00 PM","99348"
"6/7/2020 9:36:00 PM","99383"
"6/7/2020 9:37:00 PM","99265"
"6/7/2020 9:38:00 PM","99366"
"6/7/2020 9:39:00 PM","99170"
"6/7/2020 9:40:00 PM","99119"
"6/7/2020 9:41:00 PM","99255"
"6/7/2020 9:42:00 PM","99295"
"6/7/2020 9:43:00 PM","99094"
"6/7/2020 9:44:00 PM","99063"
"6/7/2020 9:45:00 PM","98883"
"6/7/2020 9:46:00 PM","98968"
"6/7/2020 9:47:00 PM","99845"
"6/7/2020 9:48:00 PM","100073"
"6/7/2020 9:49:00 PM","99672"
"6/7/2020 9:50:00 PM","99589"
"6/7/2020 9:51:00 PM","99550"
"6/7/2020 9:52:00 PM","99249"
"6/7/2020 9:53:00 PM","99262"
"6/7/2020 9:54:00 PM","99372"
"6/7/2020 9:55:00 PM","99301"
"6/7/2020 9:56:00 PM","99313"
"6/7/2020 9:57:00 PM","99511"
"6/7/2020 9:58:00 PM","99349"
"6/7/2020 9:59:00 PM","99620"
"6/7/2020 10:00:00 PM","99683"
"6/7/2020 10:01:00 PM","99605"
"6/7/2020 10:02:00 PM","99487"
"6/7/2020 10:03:00 PM","99527"
"6/7/2020 10:04:00 PM","99518"
"6/7/2020 10:05:00 PM","99508"
"6/7/2020 10:06:00 PM","100431"
"6/7/2020 10:07:00 PM","100011"
"6/7/2020 10:08:00 PM","100058"
"6/7/2020 10:09:00 PM","100131"
"6/7/2020 10:10:00 PM","100327"
"6/7/2020 10:11:00 PM","100271"
"6/7/2020 10:12:00 PM","100201"
"6/7/2020 10:13:00 PM","100391"
"6/7/2020 10:14:00 PM","100342"
"6/7/2020 10:15:00 PM","100301"
"6/7/2020 10:16:00 PM","100670"
"6/7/2020 10:17:00 PM","100714"
"6/7/2020 10:18:00 PM","100651"
"6/7/2020 10:19:00 PM","100645"
"6/7/2020 10:20:00 PM","100684"
"6/7/2020 10:21:00 PM","100662"
"6/7/2020 10:22:00 PM","100545"
"6/7/2020 10:23:00 PM","100459"
"6/7/2020 10:24:00 PM","100511"
"6/7/2020 10:25:00 PM","100459"
"6/7/2020 10:26:00 PM","100293"
"6/7/2020 10:27:00 PM","100326"
"6/7/2020 10:28:00 PM","100226"
"6/7/2020 10:29:00 PM","100080"
"6/7/2020 10:30:00 PM","100286"
"6/7/2020 10:31:00 PM","100376"
"6/7/2020 10:32:00 PM","100306"
"6/7/2020 10:33:00 PM","100436"
"6/7/2020 10:34:00 PM","100390"
"6/7/2020 10:35:00 PM","100211"
"6/7/2020 10:36:00 PM","100429"
"6/7/2020 10:37:00 PM","100242"
"6/7/2020 10:38:00 PM","100006"
"6/7/2020 10:39:00 PM","100067"
"6/7/2020 10:40:00 PM","100147"
"6/7/2020 10:41:00 PM","100308"
"6/7/2020 10:42:00 PM","100162"
"6/7/2020 10:43:00 PM","100022"
"6/7/2020 10:44:00 PM","100020"
"6/7/2020 10:45:00 PM","100174"
"6/7/2020 10:46:00 PM","100067"
"6/7/2020 10:47:00 PM","100259"
"6/7/2020 10:48:00 PM","100046"
"6/7/2020 10:49:00 PM","100111"
"6/7/2020 10:50:00 PM","100253"
"6/7/2020 10:51:00 PM","100075"
"6/7/2020 10:52:00 PM","99527"
"6/7/2020 10:53:00 PM","98688"
"6/7/2020 10:54:00 PM","98837"
"6/7/2020 10:55:00 PM","98968"
"6/7/2020 10:56:00 PM","99163"
"6/7/2020 10:57:00 PM","99244"
"6/7/2020 10:58:00 PM","99315"
"6/7/2020 10:59:00 PM","99360"
"6/7/2020 11:00:00 PM","99422"
"6/7/2020 11:01:00 PM","99906"
"6/7/2020 11:02:00 PM","100060"
"6/7/2020 11:03:00 PM","100089"
"6/7/2020 11:04:00 PM","100316"
"6/7/2020 11:05:00 PM","100152"
"6/7/2020 11:06:00 PM","100377"
"6/7/2020 11:07:00 PM","100879"
"6/7/2020 11:08:00 PM","100672"
"6/7/2020 11:09:00 PM","100474"
"6/7/2020 11:10:00 PM","100193"
"6/7/2020 11:11:00 PM","100544"
"6/7/2020 11:12:00 PM","100363"
"6/7/2020 11:13:00 PM","100067"
"6/7/2020 11:14:00 PM","99960"
"6/7/2020 11:15:00 PM","99782"
"6/7/2020 11:16:00 PM","99746"
"6/7/2020 11:17:00 PM","99619"
"6/7/2020 11:18:00 PM","99700"
"6/7/2020 11:19:00 PM","99660"
"6/7/2020 11:20:00 PM","99762"
"6/7/2020 11:21:00 PM","99535"
"6/7/2020 11:22:00 PM","100619"
"6/7/2020 11:23:00 PM","100552"
"6/7/2020 11:24:00 PM","100434"
"6/7/2020 11:25:00 PM","100553"
"6/7/2020 11:26:00 PM","100838"
"6/7/2020 11:27:00 PM","101061"
"6/7/2020 11:28:00 PM","101350"
"6/7/2020 11:29:00 PM","101347"
"6/7/2020 11:30:00 PM","101427"
"6/7/2020 11:31:00 PM","101468"
"6/7/2020 11:32:00 PM","101335"
"6/7/2020 11:33:00 PM","101261"
"6/7/2020 11:34:00 PM","101108"
"6/7/2020 11:35:00 PM","101086"
"6/7/2020 11:36:00 PM","101026"
"6/7/2020 11:37:00 PM","100969"
"6/7/2020 11:38:00 PM","101104"
"6/7/2020 11:39:00 PM","101133"
"6/7/2020 11:40:00 PM","101097"
"6/7/2020 11:41:00 PM","101067"
"6/7/2020 11:42:00 PM","101104"
"6/7/2020 11:43:00 PM","101098"
"6/7/2020 11:44:00 PM","100850"
"6/7/2020 11:45:00 PM","100884"
"6/7/2020 11:46:00 PM","100958"
"6/7/2020 11:47:00 PM","100905"
"6/7/2020 11:48:00 PM","100928"
"6/7/2020 11:49:00 PM","100734"
"6/7/2020 11:50:00 PM","100628"
"6/7/2020 11:51:00 PM","100667"
"6/7/2020 11:52:00 PM","100633"
"6/7/2020 11:53:00 PM","100577"
"6/7/2020 11:54:00 PM","100555"
"6/7/2020 11:55:00 PM","100505"
"6/7/2020 11:56:00 PM","100450"
"6/7/2020 11:57:00 PM","100405"
"6/7/2020 11:58:00 PM","100307"
"6/7/2020 11:59:00 PM","100164"
"6/8/2020","100840"
"6/8/2020 12:01:00 AM","101857"
"6/8/2020 12:02:00 AM","102259"
"6/8/2020 12:03:00 AM","102004"
"6/8/2020 12:04:00 AM","101885"
"6/8/2020 12:05:00 AM","102153"
"6/8/2020 12:06:00 AM","101806"
"6/8/2020 12:07:00 AM","101928"
"6/8/2020 12:08:00 AM","101907"
"6/8/2020 12:09:00 AM","101695"
"6/8/2020 12:10:00 AM","102002"
